id,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.dateSeen,prices.isSale,prices.merchant,prices.shipping,brand,manufacturer,primaryCategories,weight,,,,,
AVpf0Nyo1cnluZ0-rzhu,699,699,In Stock,USD,"2017-11-18T10:00:00Z,2017-08-29T04:00:00Z,2017-08-22T04:00:00Z,2017-08-19T02:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,Bose,Electronics,1.18 lb,,,,,
AVpf0Nyo1cnluZ0-rzhu,689.95,689.95,yes,USD,2017-08-28T18:00:00Z,FALSE,bargainbrokers,FREE,Bose,Bose,Electronics,1.18 lb,,,,,
AVpf0Nyo1cnluZ0-rzhu,599,599,In Stock,USD,"2017-12-06T22:00:00Z,2017-12-06T21:00:00Z,2017-12-04T20:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,Bose,Electronics,1.18 lb,,,,,
AWOpOCd2YSSHbkXw07ei,224.99,224.99,TRUE,USD,2018-05-26T13:00:00Z,TRUE,Bestbuy.com,,Samsung,,Electronics,0.14 ounces,,,,,
AWOpOCd2YSSHbkXw07ei,249.99,249.99,TRUE,USD,2018-05-26T13:00:00Z,FALSE,Bestbuy.com,,Samsung,,Electronics,0.14 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,139.99,139.99,Yes,USD,"2017-07-31T23:00:00Z,2017-07-26T21:00:00Z",FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,162.99,162.99,Yes,USD,2017-10-10T13:00:00Z,FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,189.99,189.99,TRUE,USD,2018-05-26T08:00:00Z,FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,194.82,194.82,In Stock,USD,2017-09-28T04:00:00Z,FALSE,Beach Audio Inc,Standard,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,149.99,149.99,Yes,USD,2017-09-06T20:00:00Z,FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,147.99,147.99,Yes,USD,"2017-08-30T10:00:00Z,2017-08-23T08:00:00Z",FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,158.95,158.95,In Stock,USD,2017-09-28T04:00:00Z,FALSE,Alex Magic Electronics,Value,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,154.99,154.99,Yes,USD,2017-09-18T09:00:00Z,FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,151.99,151.99,Yes,USD,2017-09-12T06:00:00Z,FALSE,Bestbuy.com,,Corsair,,Electronics,3.2 ounces,,,,,
